clmn1,clmn2,clmn3,clmn4,clmn5,clmn6,clmn7,clmn8,clmn9,clmn10,clmn11,clmn12,clmn13,clmn14,clmn15,clmn16,clmn17,clmn18,clmn19,clmn20,clmn21,clmn22,clmn23,clmn24,lbl,Out_num
6,1,1.598986359,362.5,2,3,487.5,612.5,300.0,3.0,600.0,0.005,1,0,0,0,1,0,0,0,0,0,1,0,True,4.1671249999999995e-09
0,3,0.788762977,325.0,2,1,425.0,512.5,100.0,3.0,300.0,0.03,0,1,0,0,0,0,0,1,0,1,0,0,True,3.4450000000000003e-16
7,9,0.987163232,500.0,1,1,462.5,337.5,300.0,2.0,500.0,0.035,0,1,0,0,1,0,0,0,1,0,0,0,True,1.0800000000000002e-09
5,1,0.041628524,400.0,4,9,625.0,487.5,300.0,1.0,300.0,0.025,1,0,0,0,0,0,1,0,0,1,0,0,True,2.703e-09
12,6,2.927450788,312.5,2,3,387.5,587.5,300.0,3.0,700.0,0.02,0,0,1,0,0,1,0,0,1,0,0,0,False,0.00608314905
10,9,1.59033991,625.0,2,3,387.5,312.5,200.0,4.0,700.0,0.045,0,1,0,0,0,1,0,0,0,1,0,0,True,1.976e-06
9,12,7.747787922,375.0,2,3,587.5,325.0,200.0,3.0,500.0,0.04,0,0,1,0,1,0,0,0,0,0,0,1,False,0.0405601938
1,13,2.355366617,350.0,1,1,337.5,537.5,200.0,3.0,400.0,0.05,0,0,0,1,0,0,1,0,0,0,0,1,False,0.010204445325
1,4,1.446906802,562.5,8,4,312.5,325.0,300.0,2.0,400.0,0.015,0,0,0,1,0,0,1,0,0,0,0,1,False,0.001635937
8,5,1.247193686,450.0,2,2,625.0,487.5,300.0,2.0,400.0,0.02,1,0,0,0,0,0,1,0,0,0,1,0,True,2.47775e-09
3,9,2.725528355,600.0,1,2,550.0,325.0,200.0,3.0,600.0,0.025,0,0,1,0,0,1,0,0,0,0,1,0,False,0.0045581376
13,4,3.228037737,612.5,6,2,487.5,500.0,200.0,3.0,500.0,0.025,0,1,0,0,0,1,0,0,0,0,1,0,True,9.81e-07
